Yr	lPower		lSpan		lLength		lWeight		lSpeed		lRange
14	4.406719	2.549445	2.028148	6.975414	4.65396		5.991465
14	4.406719	2.397895	2.197225	6.721426	4.976734	5.996452
14	5.409859	2.884801	2.336987	7.696213	4.905275	6.214608
15	5.099866	2.674149	2.282382	7.573531	4.927254	6.214608
15	4.779123	2.557227	2.066863	7.081709	4.941642	5.991465
15	4.310799	2.014903	1.84055		6.481577	5.17615		5.857933
15	4.310799	2.409644	2.113843	6.835185	4.727388	5.996452
16	5.633002	2.66026		2.24071		7.362011	5.438079	6.55108
16	4.406719	2.054124	1.902108	6.516193	5.164786	6.263398
16	4.204693	2.397895	2.116256	6.824374	4.663439	5.703782
16	4.718499	2.459589	2.079442	7.21008		4.941642	6.327937
16	5.003946	2.549445	2.163323	7.34601		5.135798	6.309918
16	4.779123	2.140066	2.00148		6.788972	5.164786	5.521461
16	4.779123	2.587764	2.261763	7.150701	5.056246	6.109248
16	5.474369	2.701361	2.186051	7.337588	5.209486	6.55108
16	5.32301		2.484907	2.066863	7.163947	5.303305	6.39693
16	4.406719	2.24071		1.824549	6.415097	5.342334	5.164786
16	4.779123	2.769459	2.327278	7.20786		4.976734	6.109248
16	5.267858	2.817801	2.376764	7.438384	4.787492	6.109248
17	5.817111	3.100092	2.388763	8.105308	4.905275	6.109248
17	6.325971	3.152736	2.533697	8.501064	5.023881	6.39693
17	5.659482	2.66026		2.24071		7.319865	5.170484	6.684612
17	5.961005	3.166319	2.473171	8.19561		4.941642	6.214608
17	5.099866	2.476538	2.282382	6.802395	5.247024	6.39693
17	5.267858	2.667228	2.219203	7.41758		5.164786	6.39693
17	5.267858	2.667228	2.186051	7.402452	5.164786	6.39693
17	5.227358	2.272126	2.079442	6.985642	5.32301		6.39693
17	4.779123	2.079442	1.871802	6.437752	5.278115	5.991465
17	4.779123	2.24071		1.938742	6.837333	5.105945	5.521461
17	4.493121	2.677591	2.285439	7.228388	4.983607	5.991465
17	4.841822	2.208274	1.987874	6.786717	5.164786	5.857933
17	5.003946	2.093098	1.853168	6.804615	5.402677	6.304449
17	4.779123	2.251292	2.140066	6.975414	5.068904	6.109248
17	6.285253	3.031582	2.585506	8.642944	5.111988	7.478735
18	5.996452	3.126761	2.60269		8.198639	5.062595	6.684612
18	5.697093	3.648057	3.037354	9.466919	4.983607	7.768533
18	5.697093	2.639057	2.219203	7.65302		5.220356	6.829794
18	5.837147	3.277145	2.662355	8.470102	4.787492	5.991465
18	6.284134	3.417071	2.952825	8.709465	5.056246	7.094235
18	5.409859	2.272126	1.871802	7.083388	5.420535	6.363028
18	6.256901	2.74084		2.272126	7.549609	5.32301		6.39693
18	5.227358	2.208274	2.091864	6.956545	5.438079	6.39693
19	5.474369	2.651127	2.270062	7.675546	5.081404	6.527958
19	5.659482	2.312535	2.04122		7.229114	5.525453	5.996452
20	5.815026	2.694627	2.379546	7.957877	5.141664	6.33328
20	5.815026	2.748552	2.475698	8.125631	5.327876	6.467699
20	5.815026	2.642622	2.395164	7.736307	5.141664	6.785588
20	5.815026	2.642622	2.423031	7.736307	5.141664	6.785588
21	5.815026	2.694627	2.251292	7.760893	5.459586	6.684612
21	5.815026	2.723924	2.435366	8.104099	5.081404	6.086775
21	5.879695	2.639057	2.397895	7.874739	4.976734	6.322565
22	5.746203	2.504709	1.987874	7.195187	5.501258	6.620073
22	6.662622	3.303217	2.901422	9.21034		5.209486	8.188689
22	5.697093	2.179287	1.947338	7.2086		5.365976	6.214608
22	6.508173	3.129389	2.894806	8.740337	5.192957	6.690842
22	5.409411	2.04122		1.916923	6.785588	5.393628	5.799093
23	5.815026	2.251292	1.916923	7.333676	5.46806		6.39693
23	5.968708	2.282382	1.960095	7.271009	5.537334	6.44254
23	5.968708	2.768204	2.442347	8.248006	5.129899	7.402452
23	6.077642	2.768204	2.442347	8.248006	5.129899	7.402452
23	5.968708	2.768204	2.442347	8.248006	5.129899	7.402452
23	6.077642	2.768204	2.442347	8.248006	5.129899	7.402452
23	5.144		2.571084	2.226783	7.552237	5.030438	6.403574
23	5.857933	2.721953	2.280339	7.880804	5.209486	6.952729
23	5.697093	2.190536	1.819699	7.048386	5.56452		6.467699
24	5.409859	2.261763	1.856298	7.143618	5.501258	6.214608
24	5.697093	2.379546	1.99061		7.362011	5.459586	6.39693
24	6.452049	2.618855	2.373975	7.776115	5.298317	6.952729
24	5.409411	2.186051	1.931521	6.756932	5.505332	6.309918
24	6.762036	3.285412	2.942859	8.98507		5.159055	7.36834
25	6.633318	3.218876	2.714695	8.732305	5.192957	6.476972
25	6.221584	2.261763	1.954445	7.302496	5.765191	6.821107
25	4.147885	2.179287	1.969906	6.340359	4.983607	6.244167
25	5.879695	2.449279	2.251292	7.532088	5.525453	6.690842
25	6.6995		2.850707	2.356126	8.377931	5.438079	6.620073
25	5.815026	2.525729	2.125848	7.567863	5.669881	7.012115
25	5.697093	2.493205	2.163323	7.508239	5.438079	6.648985
26	5.697093	2.492379	2.175887	7.720018	5.451038	7.027315
26	5.815026	2.282382	1.902108	7.304516	5.521461	6.214608
26	5.697093	2.727853	2.242835	7.705262	5.541264	6.745236
26	5.758902	2.206074	1.790091	7.126087	5.451038	6.259581
26	5.442418	2.876386	2.329227	7.901007	5.164786	6.745236
26	5.815026	2.727853	2.324347	7.731931	5.438079	6.802395
26	6.068426	2.718001	2.397895	8.20303		5.192957	6.55108
26	6.822197	3.310543	2.985682	9.007612	4.976734	6.504288
26	6.613653	3.091042	2.683074	8.612503	5.220356	6.55108
26	6.051618	2.617396	2.415914	8.17976		5.278115	7.441907
27	5.920505	2.332144	1.880991	7.254178	5.697093	6.39693
27	6.661855	3.125005	2.700018	8.678461	5.209486	7.233455
27	6.43935		3.102342	2.625393	8.605204	5.288267	6.907755
27	6.298949	2.847812	2.533697	8.368693	5.273		6.804615
27	5.815026	2.397895	1.94591		7.31322		5.703782	6.39693
27	5.920505	2.484907	2.014903	7.49276		5.598422	6.214608
27	5.921578	2.251292	1.974081	7.395108	5.693732	6.109248
27	5.969219	2.649715	2.293544	7.803435	5.4161		6.361302
28	6.761573	3.015535	2.694627	8.839277	5.356586	7.025538
28	6.795706	3.015535	2.70805		8.839277	5.273		7.17012
28	5.187386	2.674149	2.282382	7.549609	5.283204	6.49224
28	4.310799	2.179287	1.969906	6.340359	4.983607	6.244167
28	5.969219	2.429218	2.190536	7.650645	5.690359	6.628041
28	5.920237	2.727853	2.302585	7.904704	5.459586	7.090077
28	5.746203	2.501436	2.021548	7.226936	5.46806		6.214608
28	6.228511	2.74084		2.357073	8.085487	5.429346	7.003065
28	4.310799	2.433613	2.091864	6.923629	5.135798	6.063785
28	5.758902	2.312535	2.028148	7.323171	5.525453	6.304449
28	6.016157	2.208274	1.808289	7.401231	5.713733	6.388561
28	5.814131	2.517696	2.104134	7.56372		5.438079	6.684612
29	4.204693	2.208274	1.960095	6.565265	5.164786	6.304449
29	4.574711	2.501436	2.014903	6.932448	5.342334	6.956545
29	4.493121	2.415914	2.030776	6.835185	5.17615		6.180017
29	6.016157	2.504709	2.033398	7.36518		5.598422	6.620073
29	6.102559	2.140066	1.974081	7.200425	5.929589	6.363028
29	5.099866	2.60269		2.322388	7.922261	5.327876	6.952729
29	4.493121	2.140066	2.00148		6.58755		4.976734	6.361302
29	5.187386	2.341806	2.091864	7.01661		5.278115	6.214608
29	6.971669	3.144152	2.712042	8.774931	5.438079	6.684612
29	6.921658	3.356897	2.890372	8.826147	5.332719	6.907755
30	6.709304	3.11795		2.753661	8.731175	5.717028	7.095893
30	5.968708	2.634762	2.415021	7.891331	5.451038	6.872128
30	7.411194	3.679334	3.309082	9.501591	5.31812		6.690842
30	6.102559	2.80336		2.457878	8.281471	5.135798	6.476972
30	6.583409	2.980619	2.727853	8.584852	5.63479		7.600902
30	5.880533	2.304583	1.913977	7.211557	5.627621	6.586172
30	5.889985	2.332144	1.96851		7.211557	5.758902	6.327937
31	4.493121	2.282382	2.00148		6.732211	5.030438	6.244167
31	5.746203	2.05027		1.811562	7.135687	5.652489	6.380123
31	4.574711	2.190536	1.986504	6.688355	5.164786	6.180017
31	5.918894	2.415914	2.128232	7.565275	5.703782	6.109248
31	6.326149	2.353278	2.010895	7.685703	5.828946	7.13966
31	6.326149	2.442347	2.360854	7.917536	5.669881	7.090077
31	6.182911	2.639057	2.251292	7.740664	5.560682	6.956545
31	6.175243	2.372111	2.021548	7.396335	5.966147	6.55108
32	6.22059		2.985682	2.564949	8.384119	5.57973		7.478735
32	4.649187	2.241773	2.060514	6.858565	5.17615		6.809039
32	5.267858	2.669309	2.353278	7.552237	5.164786	6.60665
32	5.267858	2.669309	2.353278	7.552237	5.164786	6.60665
32	6.242223	2.492379	2.046402	7.444249	5.883322	6.745236
32	7.916589	3.583519	3.071303	9.836279	5.783825	7.090077
32	6.102559	2.351375	2.057963	7.546974	5.857933	6.745236
32	6.228511	2.944439	2.60269		8.36637		5.393628	7.31322
32	5.988961	2.429218	2.199444	7.612337	5.605802	6.739337
32	5.968708	2.429218	2.196113	7.612337	5.680173	6.403574
32	6.151668	2.694627	2.484907	8.149024	5.886104	7.244228
32	7.525909	3.37588		2.939162	9.308374	5.655992	7.17012
32	5.959716	2.618125	2.337952	7.878534	5.63479		6.55108
32	6.920869	3.310543	3.08191		9.16178		5.525453	6.937314
32	7.201469	3.062924	2.600465	8.851234	6.035481	8.11582
32	5.746203	2.282382	2.079442	7.664816	5.765191	6.690842
32	5.920505	2.357073	1.979621	7.365813	5.793014	6.856462
32	6.921658	3.732896	3.226844	9.840867	5.66296		6.866933
33	6.572283	2.174752	2.014903	7.426549	5.918894	6.684612
33	6.052089	3.218476	2.693275	8.88986		5.17615		8.993055
33	6.102559	2.251292	2.009555	7.531016	5.926926	6.620073
33	5.187386	2.351375	2.034706	6.903747	5.627621	6.131226
33	7.167038	3.113515	2.76001		8.892886	5.438079	6.907755
33	6.279272	2.397895	2.251292	7.610853	5.814131	6.180017
33	6.326149	2.397895	2.128232	7.549609	5.799093	5.966147
33	7.607381	3.558201	2.939162	9.711116	5.541264	7.649693
33	6.421622	2.676903	2.2895		8.131531	5.869297	7.069023
33	6.709304	2.197225	1.808289	7.555905	6.214608	5.991465
33	6.93537		3.095578	2.785011	8.684063	5.736572	7.130899
33	6.508769	2.368373	2.028148	7.600902	6.063785	6.55108
33	6.45047		2.24071		2.104134	7.590852	5.976351	6.39693
33	7.019297	3.192942	2.791778	8.948976	5.463832	8.160518
33	6.463029	2.734368	2.302585	7.847763	5.828946	6.907755
33	6.358708	2.636912	2.43799		8.089176	5.379897	6.873164
33	6.402912	2.704042	2.440606	8.257386	5.525453	6.913737
33	6.165418	2.844909	2.557227	8.153637	5.605802	6.967909
34	7.255591	3.00072		2.884801	9.050876	5.953243	7.31322
34	6.390241	2.978586	2.642622	8.444407	5.429346	6.881411
34	5.697093	2.683074	2.351375	7.822044	5.356586	6.838405
34	6.390241	2.4681		2.006871	7.528332	5.913503	6.620073
34	7.306531	2.890372	2.76001		9.08659		6.047372	8.006368
34	6.795706	3.165475	2.957511	9.21034		5.560682	8.584852
34	6.242223	2.629728	2.404239	8.341887	5.411646	7.413367
34	6.042633	2.617396	2.459589	8.146709	5.327876	6.684612
34	6.167516	2.429218	2.199444	7.784473	5.70711		6.539586
34	6.761573	3.091042	2.639057	8.602086	5.505332	6.776507
34	7.212294	3.126761	2.939162	9.230143	5.811141	7.003065
34	6.256709	2.370244	2.639057	8.202756	5.4161		7.614312
